"","PlayerName","PlayerState","TotalNumberofPoints","PlayerPreRating","AvePreChessRatOpp"
"1","PATRICK H SCHILLING","MI",5.5,1716,1574
"2","GARY DEE SWATHELL","MI",5,1649,1372
"3","KENNETH J TACK","MI",4.5,1663,1506
"4","GARY HUA","ON",6,1794,1605
"5","RONALD GRZEGORCZYK","MI",4,1629,1499
"6","DINH DANG BUI","ON",4,1563,1470
"7","DAKSHESH DARURI","MI",6,1553,1469
"8","DIPANKAR ROY","MI",4,1564,1426
"9","JASON ZHENG","MI",4,1595,1411
"10","DAVID SUNDEEN","MI",4,1600,1480
"11","MAX ZHU","ON",3.5,1579,1507
"12","ADITYA BAJAJ","MI",6,1384,1564
"13","JOSHUA PHILIP MATHEWS","ON",3.5,1441,1379
"14","RISHI SHETTY","MI",3.5,1494,1260
"15","BRIAN LIU","MI",3,1423,1539
"16","HANSHI ZUO","MI",5.5,1655,1501
"17","ANVIT RAO","MI",5,1365,1554
"18","EZEKIEL HOUGHTON","MI",5,1641,1468
"19","STEFANO LEE","ON",5,1411,1523
"20","HANSEN SONG","OH",5,1686,1519
"21","FOREST ZHANG","MI",3,1348,1391
"22","JACOB ALEXANDER LAVALLEY","MI",3,377,1358
"23","JOEL R HENDON","MI",3,1436,1430
"24","ERIC WRIGHT","MI",2.5,1362,1392
"25","CAMERON WILLIAM MC LEMAN","MI",4.5,1712,1468
"26","SIDDHARTH JHA","MI",3.5,1355,1388
"27","SHIVAM JHA","MI",2.5,1056,1296
"28","BRADLEY SHAW","MI",4.5,1610,1515
"29","TORRANCE HENRY JR","MI",4.5,1666,1498
"30","TEJAS AYYAGARI","MI",2.5,1011,1356
"31","ETHAN GUO","MI",2.5,935,1495
"32","DANIEL KHAIN","MI",2.5,1382,1356
"33","SOFIA ADINA STANESCU-BELLU","MI",3.5,1507,1522
"34","JEZZEL FARKAS","ON",1.5,955,1327
"35","ZACHARY JAMES HOUGHTON","MI",4.5,1220,1484
"36","MICHAEL R ALDRICH","MI",4,1229,1357
"37","EUGENE L MCCLURE","MI",4,1555,1300
"38","MARISA RICCI","MI",2,1153,1414
"39","ALEX KONG","MI",2,1186,1406
"40","SEAN M MC CORMICK","MI",2,853,1319
"41","VIRAJ MOHILE","MI",2,917,1391
"42","ALAN BUI","ON",4,1363,1214
"43","LOREN SCHWIEBERT","MI",3.5,1745,1363
"44","JOSHUA DAVID LEE","MI",3.5,1438,1150
"45","GEORGE AVERY JONES","ON",3.5,1522,1144
"46","JADE GE","MI",3.5,1449,1277
"47","MICHAEL JEFFERY THOMAS","MI",3.5,1399,1375
"48","BEN LI","MI",1,1163,1263
"49","ROBERT GLEN VASEY","MI",3,1283,1107
"50","JARED GE","MI",3,1332,1150
"51","DEREK YAN","MI",3,1242,1152
"52","JUSTIN D SCHILLING","MI",3,1199,1327
"53","AMIYATOSH PWNANANDAM","MI",3.5,980,1385
"54","LARRY HODGE","MI",2,1270,1206
"55","ASHWIN BALAJI","MI",1,1530,1186
"56","GAURAV GIDWANI","MI",3.5,1552,1222
"57","JOSE C YBARRA","MI",2,1393,1345
"58","CHIEDOZIE OKORIE","MI",3.5,1602,1314
"59","KYLE WILLIAM MURPHY","MI",3,1403,1248
"60","MIKE NIKITIN","MI",4,1604,1386
"61","JULIA SHEN","MI",1.5,967,1330
"62","MICHAEL LU","MI",2,1092,1363
"63","THOMAS JOSEPH HOSMER","MI",1,1175,1350
"64","MICHAEL J MARTIN","MI",2.5,1291,1286
